Episode,Total Reward,Steps,Epsilon
206,-432.069903517325,918,0.001
207,-2444.914957750306,1132,0.001
208,1165.1461876260194,466,0.001
209,-4555.230902809019,1538,0.001
210,-6365.286495867881,1804,0.001
211,-2148.32353420844,1165,0.001
212,1549.376714225322,359,0.001
213,1600.6394603827948,349,0.001
214,1514.3678932960597,357,0.001
215,1541.2723208487496,361,0.001
216,1604.9043430993784,353,0.001
217,1528.7938573739987,363,0.001
218,1583.5443775349886,352,0.001
219,1473.2993705454355,373,0.001
220,-9257.99705612735,2652,0.001
221,267.46093711167293,667,0.001
222,-2863.740950989578,1187,0.001
223,-2811.8555856855673,1481,0.001
224,-270.9841130625539,792,0.001
225,-3621.706990091112,1276,0.001
226,-2563.458359697993,957,0.001
227,-2835.8164705357403,1563,0.001
228,-9774.202542325447,3000,0.001
229,-179.79572995594296,1880,0.001
230,-2036.4741324874974,556,0.001
231,-5266.946736994553,3000,0.001
232,-10573.385565327028,3000,0.001
233,-4526.124356987193,1335,0.001
234,-1378.7676197154115,914,0.001
235,-2655.0981853489957,982,0.001
236,2571.4296028845047,628,0.001
237,-196.1217175142068,696,0.001
238,3672.5277412071055,1588,0.001
239,1061.7442246647627,3000,0.001
240,1437.7589962692566,840,0.001
241,-10902.24035626149,2975,0.001
242,2017.4031889009298,725,0.001
243,1923.4979132082585,639,0.001
244,-7961.429704246495,3000,0.001
245,1889.6702542619157,2247,0.001
246,60.865944757653324,2171,0.001
247,81.99314941694978,2112,0.001
248,5260.472145120214,1078,0.001
249,6447.686314826557,1708,0.001
250,5806.401622969078,1014,0.001
251,5387.088764098373,1211,0.001
252,3360.8205371680397,1217,0.001
253,5416.749715031843,1017,0.001
254,6028.60197388425,1213,0.001
255,4392.956701765913,1054,0.001
256,5520.487380703263,1082,0.001
257,4713.419124209409,1512,0.001
258,4558.754764971247,1066,0.001
259,2323.1992932077596,1540,0.001
260,4122.343108837,895,0.001
261,6718.008209606127,948,0.001
262,5003.0709322292105,1478,0.001
263,6299.079445412229,1013,0.001
264,6104.433443542505,1476,0.001
265,5151.519914664826,1485,0.001
266,6120.922708063059,1015,0.001
267,3795.0115357159984,1509,0.001
268,3635.9813179280377,1330,0.001
269,5677.920115357628,1670,0.001
270,3430.3895770980657,1229,0.001
271,5529.533093829431,2284,0.001
272,5515.44224910341,877,0.001
273,6003.912054972125,977,0.001
274,2294.4722485043717,1495,0.001
275,5612.660723606992,928,0.001
276,3725.8853691527115,1548,0.001
277,6115.284803226127,2364,0.001
278,6051.42241582807,1027,0.001
279,3888.173913866558,1225,0.001
280,4531.302734598533,1021,0.001
281,3824.097441997087,1997,0.001
282,6590.666435244327,1039,0.001
283,7051.079870283349,984,0.001
284,7400.067369557541,3000,0.001
285,6287.660272041954,988,0.001
286,3081.1673473898613,1471,0.001
287,3812.8722506417466,1904,0.001
288,7236.171485396605,979,0.001
289,4867.015444525543,1463,0.001
290,3376.0282457961875,1453,0.001
291,4242.216027525762,1536,0.001
292,5281.549785213907,963,0.001
293,4663.006538348871,1154,0.001
294,3337.705464776399,1422,0.001
295,3045.863628404203,1461,0.001
296,4542.762025250806,1000,0.001
297,5310.355347885763,1415,0.001
298,4149.155419739313,1499,0.001
299,3721.3399432900183,1509,0.001
300,7085.832179307069,1489,0.001
301,4802.176588540035,944,0.001
302,1909.559827254033,1482,0.001
303,5950.69055360856,1345,0.001
304,6486.797096307515,1341,0.001
305,2783.536636049799,1340,0.001
306,5431.583648684439,2048,0.001
307,1379.0759127793963,2339,0.001
308,3401.58923090993,1450,0.001
309,5041.009939253517,1390,0.001
310,8076.8844540790105,1073,0.001
311,3725.7460463141606,1939,0.001
312,728.7650552011442,2360,0.001
313,8252.592256909451,1044,0.001
314,4727.631036135495,952,0.001
315,4969.973297967655,893,0.001
316,12193.763909899422,1559,0.001
317,4911.5716237614315,975,0.001
318,4766.528469419762,986,0.001
319,3073.7261734780473,1394,0.001
320,3337.291545721675,1455,0.001
321,4655.367374833712,982,0.001
322,3119.414449516917,1413,0.001
323,3298.063374829352,1337,0.001
324,6517.902198167375,1044,0.001
325,4757.14237199466,1063,0.001
326,11632.60933056815,1554,0.001
327,4835.199792480187,1099,0.001
328,4948.042950924332,1097,0.001
329,3722.869296118546,1504,0.001
330,5011.020972018247,1095,0.001
331,5183.238735229408,1062,0.001
332,3394.068550386777,1578,0.001
333,5029.291405523248,1077,0.001
334,4652.106128372787,1029,0.001
335,6641.6374168399425,977,0.001
336,5162.622205007159,908,0.001
337,2814.227057474442,1591,0.001
338,2089.000379810308,1485,0.001
339,9556.490175787472,994,0.001
340,3776.3109339210646,1310,0.001
341,2907.203294017664,1445,0.001
342,4558.408975529996,1020,0.001
343,5888.05112086763,732,0.001
344,5322.322053948857,916,0.001
345,5149.994660064342,911,0.001
346,5675.490681689553,1421,0.001
347,5191.3042576799635,921,0.001
348,5022.78117614207,965,0.001
349,5120.419034736052,969,0.001
350,12643.241040964444,1547,0.001
351,-9204.612295170407,2477,0.001
352,200.59188152891204,720,0.001
353,821.3392624218789,1575,0.001
354,2376.794923384347,731,0.001
355,2579.03952654323,667,0.001
356,-6940.647352554584,2261,0.001
357,-1553.0161507978148,1059,0.001
358,-663.6862412414381,1016,0.001
359,1654.9121314338242,611,0.001
360,447.36437729901957,604,0.001
361,495.65046859663425,669,0.001
362,-818.4476718416778,987,0.001
363,9072.524116143908,1644,0.001
364,8490.564975099778,956,0.001
365,8858.131813500557,912,0.001
366,8932.500245534202,881,0.001
367,1889.0402174284457,1284,0.001
368,8681.98255303139,932,0.001
369,3348.7572747692802,1095,0.001
370,8698.997307668618,933,0.001
371,5782.693953202256,1354,0.001
372,9317.903246899128,823,0.001
373,9099.691423487031,849,0.001
374,1733.7076923498091,1119,0.001
375,9365.035427335624,815,0.001
376,4945.290841602444,1709,0.001
377,9247.75571975525,836,0.001
378,9157.66837163438,853,0.001
379,7989.5803555499415,836,0.001
380,8695.45286417442,922,0.001
381,9213.162386888427,1394,0.001
382,9638.679223674295,776,0.001
383,10317.80593609499,898,0.001
384,2448.481134658043,1084,0.001
385,9168.277073307287,843,0.001
386,6585.688490112541,1297,0.001
387,6813.085954823228,1285,0.001
388,8.278212181232817,1352,0.001
389,9120.48080467223,838,0.001
390,9909.563211607581,904,0.001
391,9136.10738006952,840,0.001
392,7551.404161331434,1141,0.001
393,9601.41098956618,784,0.001
394,9183.829653006858,833,0.001
